ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1551445,MISHVELIDZE Shota,M,NA,NA,NA,Georgia,GEO,2024 Summer,2024,Summer,Paris,Weightlifting,Mens 61kg,NA
1551552,BOUKHIAM Ramzi,M,NA,NA,NA,Morocco,MAR,2024 Summer,2024,Summer,Paris,Surfing,Men,NA
1551755,BAKRACI Gresa,F,NA,162,NA,Kosovo,KOS,2024 Summer,2024,Summer,Paris,Athletics,Womens 800m,NA
1551787,RAMOS Ethan Adrian,M,NA,NA,NA,Puerto Rico,PUR,2024 Summer,2024,Summer,Paris,Wrestling,Mens Freestyle 86kg,NA
1551794,SMITH Jonovan Darius,M,NA,NA,NA,Puerto Rico,PUR,2024 Summer,2024,Summer,Paris,Wrestling,Mens Freestyle 125kg,NA
1551804,CLARO FIZ Alejandro,M,NA,162,NA,Cuba,CUB,2024 Summer,2024,Summer,Paris,Boxing,Mens 51kg,NA
1551805,VELASCO FUENTES Victoria,F,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Cycling Track,Womens Omnium,NA
1551878,GAXIOLA GONZALEZ Daniela,F,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Cycling Track,Womens Keirin,NA
1551878,GAXIOLA GONZALEZ Daniela,F,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Cycling Track,Womens Sprint,NA
1551878,GAXIOLA GONZALEZ Daniela,F,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Cycling Track,Womens Team Sprint,NA
1551880,VERDUGO OSUNA Yuli,F,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Cycling Track,Womens Keirin,NA
1551880,VERDUGO OSUNA Yuli,F,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Cycling Track,Womens Sprint,NA
1551880,VERDUGO OSUNA Yuli,F,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Cycling Track,Womens Team Sprint,NA
1551883,SALAZAR VALLES Jessica,F,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Cycling Track,Womens Team Sprint,NA
